Fid,Certification_Course,Gender,Department,Height_CM,Weight_KG,10th_Mark,12th_Mark,hobbies,daily_studing_time,prefer_to_study_in,like_your_degree,social_medai_video,Travelling_Time ,Stress_Level ,Financial_Status,alcohol_consumption,part_time_job,Label,Results
180.149.136.194-10.42.0.211-443-40289-6,No,Male,BCA,100.0,58.0,79.0,65.0,Video Games,0 - 30 minute,Morning,No,1.30 - 2 hour,30 - 60 minutes,Bad,Bad,no,No,1,1
151.101.129.140-10.42.0.42-443-48109-6,No,Female,BCA,90.0,40.0,70.0,80.0,Cinema,30 - 60 minute,Morning,Yes,1 - 1.30 hour,0 - 30 minutes,Bad,Bad,no,No,0,0
172.217.6.195-10.42.0.211-443-40731-6,Yes,Male,BCA,159.0,78.0,69.5,61.0,Cinema,1 - 2 Hour,Anytime,Yes,More than 2 hour,30 - 60 minutes,Awful,Bad,no,No,0,0
10.42.0.211-10.42.0.1-25604-53-17,Yes,Female,BCA,147.0,20.0,70.0,59.0,Reading books,1 - 2 Hour,Anytime,No,1.30 - 2 hour,0 - 30 minutes,Bad,good,yes,No,0,0
10.42.0.211-115.239.210.141-51788-80-6,No,Male,BCA,170.0,54.0,40.0,65.0,Video Games,30 - 60 minute,Morning,Yes,1.30 - 2 hour,30 - 60 minutes,Good,good,no,No,1,1
10.42.0.211-69.147.64.34-40689-443-6,Yes,Female,BCA,139.0,33.0,90.0,75.0,Cinema,30 - 60 minute,Night,Yes,30 - 60 Minute,0 - 30 minutes,Bad,good,yes,No,0,0
10.42.0.211-114.134.80.163-45484-80-6,Yes,Male,BCA,165.0,50.0,70.0,63.0,Reading books,1 - 2 Hour,Morning,Yes,1 - 1.30 hour,1 - 1.30 hour,Good,good,no,No,1,1
10.42.0.211-66.198.178.90-54584-443-6,No,Male,BCA,152.0,43.0,61.6,61.67,Sports,1 - 2 Hour,Morning,Yes,1 - 1.30 hour,1 - 1.30 hour,Good,good,no,No,0,0
172.217.3.110-10.42.0.42-443-42249-17,No,Male,BCA,190.0,85.0,88.2,67.5,Video Games,0 - 30 minute,Morning,Yes,1.30 - 2 hour,1 - 1.30 hour,Bad,Bad,no,No,0,0
192.229.173.173-10.42.0.151-80-46766-6,No,Male,BCA,150.0,84.0,60.0,65.0,Video Games,0 - 30 minute,Anytime,Yes,30 - 60 Minute,30 - 60 minutes,Good,good,yes,No,0,0
