Fid,Certification_Course,Gender,Department,Height_CM,Weight_KG,10th_Mark,12th_Mark,hobbies,daily_studing_time,prefer_to_study_in,like_your_degree,social_medai_video,Travelling_Time ,Stress_Level ,Financial_Status,alcohol_consumption,part_time_job,Label
180.149.136.194-10.42.0.211-443-40289-6,No,Male,BCA,100,58,79,65,Video Games,0 - 30 minute,Morning,No,1.30 - 2 hour,30 - 60 minutes,Bad,Bad,no,No,1
151.101.129.140-10.42.0.42-443-48109-6,No,Female,BCA,90,40,70,80,Cinema,30 - 60 minute,Morning,Yes,1 - 1.30 hour,0 - 30 minutes,Bad,Bad,no,No,0
172.217.6.195-10.42.0.211-443-40731-6,Yes,Male,BCA,159,78,69.5,61,Cinema,1 - 2 Hour,Anytime,Yes,More than 2 hour,30 - 60 minutes,Awful,Bad,no,No,0
10.42.0.211-10.42.0.1-25604-53-17,Yes,Female,BCA,147,20,70,59,Reading books,1 - 2 Hour,Anytime,No,1.30 - 2 hour,0 - 30 minutes,Bad,good,yes,No,0
10.42.0.211-115.239.210.141-51788-80-6,No,Male,BCA,170,54,40,65,Video Games,30 - 60 minute,Morning,Yes,1.30 - 2 hour,30 - 60 minutes,Good,good,no,No,1
10.42.0.211-69.147.64.34-40689-443-6,Yes,Female,BCA,139,33,90,75,Cinema,30 - 60 minute,Night,Yes,30 - 60 Minute,0 - 30 minutes,Bad,good,yes,No,0
10.42.0.211-114.134.80.163-45484-80-6,Yes,Male,BCA,165,50,70,63,Reading books,1 - 2 Hour,Morning,Yes,1 - 1.30 hour,1 - 1.30 hour,Good,good,no,No,1
10.42.0.211-66.198.178.90-54584-443-6,No,Male,BCA,152,43,61.6,61.67,Sports,1 - 2 Hour,Morning,Yes,1 - 1.30 hour,1 - 1.30 hour,Good,good,no,No,0
172.217.3.110-10.42.0.42-443-42249-17,No,Male,BCA,190,85,88.2,67.5,Video Games,0 - 30 minute,Morning,Yes,1.30 - 2 hour,1 - 1.30 hour,Bad,Bad,no,No,0
192.229.173.173-10.42.0.151-80-46766-6,No,Male,BCA,150,84,60,65,Video Games,0 - 30 minute,Anytime,Yes,30 - 60 Minute,30 - 60 minutes,Good,good,yes,No,0
202.77.129.185-10.42.0.211-80-36095-6,No,Male,BCA,99,50,75,70,Video Games,1 - 2 Hour,Morning,Yes,1 - 1.30 hour,0 - 30 minutes,Good,Bad,no,No,1
180.149.134.221-10.42.0.151-80-45044-6,No,Female,BCA,152,51,60,55,Cinema,2 - 3 hour,Night,Yes,1 - 1.30 hour,2 - 2.30 hour,Bad,Bad,yes,No,0
10.42.0.151-104.244.42.194-38898-443-6,Yes,Female,BCA,158,64,59,54,Reading books,30 - 60 minute,Morning,Yes,1 - 30 Minute,30 - 60 minutes,Bad,good,yes,No,1
211.103.34.67-10.42.0.211-10000-39017-6,No,Male,BCA,160,52,50,55,Cinema,0 - 30 minute,Anytime,Yes,30 - 60 Minute,1.30 - 2 hour,Good,Awful,no,No,1
209.10.120.26-10.42.0.211-80-48999-6,Yes,Male,BCA,160,83,89.5,69.7,Cinema,30 - 60 minute,Anytime,Yes,1 - 30 Minute,30 - 60 minutes,Good,good,no,No,0
203.205.158.63-10.42.0.211-80-38579-6,Yes,Male,BCA,156,68,54,48,Video Games,30 - 60 minute,Anytime,Yes,1 - 1.30 hour,more than 3 hour,Good,Bad,no,No,0
172.217.5.227-10.42.0.211-443-37710-6,Yes,Male,BCA,153,52,83,76,Sports,1 - 2 Hour,Anytime,Yes,1.30 - 2 hour,30 - 60 minutes,Good,good,yes,Yes,0
180.149.138.197-10.42.0.151-80-41212-6,Yes,Male,BCA,162,60,62,61.3,Cinema,0 - 30 minute,Night,Yes,1 - 1.30 hour,1 - 1.30 hour,Bad,Bad,yes,No,1
172.217.10.142-10.42.0.151-443-40864-6,No,Male,BCA,150,60,60,65,Cinema,0 - 30 minute,Anytime,Yes,1 - 30 Minute,1 - 1.30 hour,Bad,Bad,yes,No,1
10.42.0.151-72.30.3.43-41443-443-6,Yes,Female,BCA,109,42,60,70,Cinema,30 - 60 minute,Anytime,Yes,1 - 30 Minute,30 - 60 minutes,Good,good,yes,No,1
172.217.10.40-10.42.0.151-443-52974-6,Yes,Male,BCA,160,50,65,65,Sports,30 - 60 minute,Anytime,Yes,30 - 60 Minute,1 - 1.30 hour,Bad,Bad,no,Yes,1
175.100.207.232-10.42.0.151-80-48843-6,No,Male,BCA,154,51,65,70,Cinema,1 - 2 Hour,Morning,Yes,1 - 30 Minute,1 - 1.30 hour,Good,Bad,no,No,0
172.217.8.4-10.42.0.211-443-46736-6,No,Female,BCA,142,42,78,60,Cinema,1 - 2 Hour,Anytime,Yes,1 - 1.30 hour,1 - 1.30 hour,Bad,good,yes,No,0
172.217.10.234-10.42.0.151-443-49724-6,No,Male,BCA,180,90,75,73.8,Video Games,1 - 2 Hour,Morning,Yes,1 - 1.30 hour,30 - 60 minutes,Good,good,yes,No,1
202.77.129.146-10.42.0.151-80-49656-6,No,Male,BCA,167,85,75,60,Cinema,0 - 30 minute,Anytime,Yes,1.30 - 2 hour,2 - 2.30 hour,Awful,good,yes,No,1
209.10.120.26-10.42.0.211-80-39080-6,No,Male,BCA,90,89,60,50,Sports,30 - 60 minute,Morning,Yes,30 - 60 Minute,30 - 60 minutes,Bad,good,no,Yes,1
182.22.67.91-10.42.0.151-443-49757-6,Yes,Male,BCA,175,73,90,90,Cinema,1 - 2 Hour,Anytime,Yes,0 Minute,1 - 1.30 hour,Good,Bad,no,No,0
172.217.10.14-10.42.0.151-443-56146-6,No,Male,BCA,151,69,73,85,Sports,0 - 30 minute,Morning,Yes,1 - 1.30 hour,30 - 60 minutes,Good,good,no,No,0
10.42.0.151-104.193.88.109-40172-80-6,No,Female,BCA,145,39,89,77,Sports,30 - 60 minute,Night,Yes,0 Minute,1 - 1.30 hour,Awful,Bad,yes,Yes,0
220.243.219.55-10.42.0.211-80-41302-6,No,Female,BCA,99,40,94,94,Reading books,30 - 60 minute,Night,Yes,1 - 1.30 hour,30 - 60 minutes,Good,Bad,yes,No,1
172.217.12.163-10.42.0.151-443-47509-6,No,Male,BCA,151,52,60,65,Sports,0 - 30 minute,Morning,Yes,30 - 60 Minute,1.30 - 2 hour,Good,good,no,No,1
205.204.101.196-10.42.0.151-443-43611-6,No,Male,BCA,158,63,78,60,Sports,30 - 60 minute,Anytime,Yes,30 - 60 Minute,2.30 - 3 hour,Good,Bad,yes,No,0
203.205.128.137-10.42.0.151-80-32954-6,Yes,Male,BCA,160,60,69,60,Sports,0 - 30 minute,Anytime,Yes,1 - 30 Minute,1.30 - 2 hour,Good,Awful,yes,No,1
183.79.250.251-10.42.0.42-443-58891-6,No,Male,BCA,163,55,85.6,70,Cinema,1 - 2 Hour,Anytime,Yes,1 - 1.30 hour,0 - 30 minutes,Awful,Bad,yes,No,1
203.205.158.52-10.42.0.42-80-47428-6,Yes,Male,BCA,160,70,65,60,Video Games,30 - 60 minute,Anytime,Yes,30 - 60 Minute,30 - 60 minutes,Bad,good,no,No,1
10.42.0.1-10.42.0.42-53-50159-17,No,Male,BCA,144,50,70,60,Sports,0 - 30 minute,Morning,Yes,1 - 1.30 hour,1.30 - 2 hour,Bad,Bad,yes,No,0
172.217.11.35-10.42.0.151-443-40481-6,No,Female,BCA,155,48,85,80,Sports,2 - 3 hour,Anytime,Yes,1 - 1.30 hour,1 - 1.30 hour,Good,good,yes,No,1
